Transceiver   Inverting,1,8,-,Push-Pull,15mA   24mA,4.75 V ~ 5.25 V,0°C ~ 70°C (TA),Surface Mount,24-SOIC (0.295"   7.50mm Width),24-SOIC
Buffer   Non-Inverting,4,1,-,Push-Pull,16mA   16mA,2 V ~ 5.5 V,-40°C ~ 125°C (TA),Surface Mount,14-TSSOP (0.173"   4.40mm Width),14-TSSOP
Buffer   Non-Inverting,4,1,-,Push-Pull,16mA   16mA,1 V ~ 5.5 V,-40°C ~ 125°C (TA),Surface Mount,14-SSOP (0.209"   5.30mm Width),14-SSOP
Transceiver   Non-Inverting,1,8,-,Push-Pull,16mA   16mA,2 V ~ 5.5 V,-40°C ~ 125°C (TA),Surface Mount,20-SOIC (0.209"   5.30mm Width),20-SO
Transceiver   Non-Inverting,1,8,-,Push-Pull,16mA   16mA,1 V ~ 5.5 V,-40°C ~ 125°C (TA),Surface Mount,20-TSSOP (0.173"   4.40mm Width),20-TSSOP
Buffer   Non-Inverting,4,1,-,Push-Pull,24mA   24mA,1.2 V ~ 3.6 V,-40°C ~ 125°C (TA),Surface Mount,14-SOIC (0.154"   3.90mm Width),14-SO
Buffer   Non-Inverting,4,1,-,Push-Pull,24mA   24mA,1.65 V ~ 3.6 V,-40°C ~ 125°C (TA),Surface Mount,14-TSSOP (0.173"   4.40mm Width),14-TSSOP
Buffer   Non-Inverting,4,1,-,Push-Pull,24mA   24mA,1.65 V ~ 3.6 V,-40°C ~ 125°C (TA),Surface Mount,14-SSOP (0.209"   5.30mm Width),14-SSOP
Buffer   Inverting,1,1,-,Open Drain,-   32mA,1.65 V ~ 5.5 V,-40°C ~ 125°C,Surface Mount,SC-74A   SOT-753,SOT-23-5
Buffer   Non-Inverting,1,1,-,Push-Pull,32mA   32mA,1.65 V ~ 5.5 V,-40°C ~ 125°C (TA),Surface Mount,5-TSSOP   SC-70-5   SOT-353,SC-70-5
Buffer   Non-Inverting,1,1,-,Push-Pull,32mA   32mA,1.65 V ~ 5.5 V,-40°C ~ 125°C (TA),Surface Mount,5-TSSOP   SC-70-5   SOT-353,SC-70-5
Buffer   Non-Inverting,1,1,-,Push-Pull,32mA   32mA,1.65 V ~ 5.5 V,-40°C ~ 125°C (TA),Surface Mount,SC-74A   SOT-753,SC-74A
Buffer   Non-Inverting,1,1,-,Push-Pull,32mA   32mA,1.65 V ~ 5.5 V,-40°C ~ 125°C (TA),Surface Mount,5-TSSOP   SC-70-5   SOT-353,5-TSSOP
Buffer   Non-Inverting,1,1,Schmitt Trigger,Push-Pull,32mA   32mA,1.65 V ~ 5.5 V,-40°C ~ 125°C (TA),Surface Mount,SC-74A   SOT-753,5-TSOP
Buffer   Non-Inverting,1,1,-,Push-Pull,32mA   32mA,1.65 V ~ 5.5 V,-40°C ~ 125°C (TA),Surface Mount,SC-74A   SOT-753,5-TSOP
Buffer   Non-Inverting,2,4,-,Push-Pull,24mA   24mA,1.65 V ~ 3.6 V,-40°C ~ 125°C (TA),Surface Mount,20-TSSOP (0.173"   4.40mm Width),20-TSSOP
Buffer   Non-Inverting,2,4,-,Push-Pull,24mA   24mA,1.65 V ~ 3.6 V,-55°C ~ 125°C (TA),Surface Mount,20-TSSOP (0.173"   4.40mm Width),20-TSSOP
Transceiver   Non-Inverting,1,8,-,Push-Pull,24mA   24mA,1.65 V ~ 3.6 V,-40°C ~ 125°C (TA),Surface Mount,20-SSOP (0.209"   5.30mm Width),20-SSOP
Transceiver   Non-Inverting,1,8,-,Push-Pull,24mA   24mA,1.65 V ~ 3.6 V,-40°C ~ 125°C (TA),Surface Mount,20-TSSOP (0.173"   4.40mm Width),20-TSSOP
Buffer   Non-Inverting,2,1,-,Open Drain,-   32mA,1.65 V ~ 5.5 V,-40°C ~ 125°C (TA),Surface Mount,SC-74   SOT-457,6-TSOP
Buffer   Non-Inverting,2,1,Schmitt Trigger,Push-Pull,32mA   32mA,1.65 V ~ 5.5 V,-40°C ~ 125°C (TA),Surface Mount,SOT-23-6,SOT-23-6
