20-Key Encoder,1 x 9:4,1,15mA   16mA,Single Supply,3 V ~ 15 V,-40°C ~ 85°C,Surface Mount,20-SOIC (0.295"   7.50mm Width),20-SOIC
Decoder/Demultiplexer,1 x 3:8,1,5.2mA   5.2mA,Single Supply,2 V ~ 6 V,-40°C ~ 85°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SOIC
Multiplexer,1 x 8:1,1,5.2mA   5.2mA,Single Supply,2 V ~ 6 V,-40°C ~ 85°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SOIC
Decoder,1 x 4:16,1,5.2mA   5.2mA,Single Supply,2 V ~ 6 V,-40°C ~ 85°C,Surface Mount,24-TSSOP (0.173"   4.40mm Width),24-TSSOP
Decoder/Demultiplexer,1 x 4:16,1,5.2mA   5.2mA,Dual Supply,2 V ~ 6 V,-40°C ~ 85°C,Surface Mount,24-TSSOP (0.173"   4.40mm Width),24-TSSOP
Multiplexer,1 x 16:1,1,800µA   16mA,Single Supply,4.75 V ~ 5.25 V,0°C ~ 70°C,Through Hole,24-DIP (0.600"   15.24mm),24-PDIP
Multiplexer,4 x 2:1,1,8mA   8mA,Single Supply,2 V ~ 5.5 V,-40°C ~ 125°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SOIC
Multiplexer,4 x 2:1,1,8mA   8mA,Single Supply,2 V ~ 5.5 V,-40°C ~ 125°C,Surface Mount,16-TSSOP (0.173"   4.40mm Width),16-TSSOP
Multiplexer/Demultiplexer,4 x 2:1,1,-,Single Supply,2.3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,16-TSSOP (0.173"   4.40mm Width),16-TSSOP
Multiplexer/Demultiplexer,12 x 1:2,1,-,Single Supply,4.5 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,56-TFSOP (0.240"   6.10mm Width),56-TSSOP
Bus Switch,1 x 1:1,4,-,Single Supply,4.5 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,16-SSOP (0.154"   3.90mm Width),16-SSOP
Multiplexer/Demultiplexer,1 x 8:1,1,-,Single Supply,4.5 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,16-SSOP (0.154"   3.90mm Width),16-SSOP
Multiplexer/Demultiplexer,4 x 2:1,1,-,Single Supply,4.5 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,16-TSSOP (0.173"   4.40mm Width),16-TSSOP
Bus Switch,10 x 1:1,2,-,Single Supply,4.5 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,48-TFSOP (0.240"   6.10mm Width),48-TSSOP
Bus Switch,1 x 1:1,2,-,Single Supply,4.5 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,8-TSSOP (0.173"   4.40mm Width),8-TSSOP
Bus Switch,5 x 1:1,2,-,Single Supply,4.5 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,24-TSSOP (0.173"   4.40mm Width),24-TSSOP
Bus Switch,10 x 1:1,1,-,Single Supply,4.5 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,24-SSOP (0.154"   3.90mm Width),24-SSOP/QSOP
Multiplexer/Demultiplexer,4 x 2:1,1,-,Single Supply,2.3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,16-SSOP (0.154"   3.90mm Width),16-SSOP
Bus Switch,5 x 1:1,2,-,Single Supply,2.3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,24-SOIC (0.295"   7.50mm Width),24-SOIC
Multiplexer,2 x 4:1,1,7.8mA   7.8mA,Single Supply,2 V ~ 6 V,-40°C ~ 85°C,Through Hole,16-DIP (0.300"   7.62mm),16-PDIP
Multiplexer,4 x 2:1,1,7.8mA   7.8mA,Single Supply,2 V ~ 6 V,-40°C ~ 85°C,Surface Mount,16-SSOP (0.209"   5.30mm Width),16-SSOP
Multiplexer,4 x 2:1,1,7.8mA   7.8mA,Single Supply,2 V ~ 6 V,-40°C ~ 85°C,Surface Mount,16-SOIC (0.209"   5.30mm Width),16-SO
Multiplexer,4 x 2:1,1,7.8mA   7.8mA,Single Supply,2 V ~ 6 V,-40°C ~ 85°C,Through Hole,16-DIP (0.300"   7.62mm),16-PDIP
Decoder,1 x 4:10,1,-   80mA,Single Supply,4.75 V ~ 5.25 V,0°C ~ 70°C,Through Hole,16-DIP (0.300"   7.62mm),16-PDIP
Decoder/Demultiplexer,1 x 2:4,2,24mA   24mA,Single Supply,1.65 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SOIC
Multiplexer/Demultiplexer,2 x 4:1,1,-,Single Supply,4 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,16-TSSOP (0.173"   4.40mm Width),16-TSSOP
