https://media.digikey.com/Renders/On%20Semi%20Renders/TO-92-3(StandardBody)  TO-226_bentlead_tmb.jpg,https://media.digikey.com/pdf/Data%20Sheets/Sharp%20PDFs/PQ0(33  50)ES3MXP.pdf,PQ033ES3MXPQ-ND,PQ033ES3MXPQ,Sharp Microelectronics,IC REG LINEAR 3.3V 300MA TO92-3,0,Obsolete,-,Tape & Box (TB),-,Obsolete
https://media.digikey.com/Renders/On%20Semi%20Renders/8-SOIC_tmb.jpg,http://www.onsemi.com/pub/Collateral/MC78L00A-D.PDF,MC78L05ACDR2GOSTR-ND,MC78L05ACDR2G,ON Semiconductor,IC REG LINEAR 5V 100MA 8SOIC,0  Standard Lead Time 33 Weeks,$0.10963,2  500,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/Renders/STMicro%20Renders/STM%208-SOIC_tmb.jpg,https://media.digikey.com/pdf/Data%20Sheets/ST%20Microelectronics%20PDFS/L79L.pdf,497-7298-2-ND,L79L08ACD13TR,STMicroelectronics,IC REG LINEAR -8V 100MA 8SO,7  500 - Immediate,$0.12358,2  500,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/Renders/Analog%20Devices%20Renders/505;CB-4-3;CB;4_tmb.jpg,http://www.analog.com/media/en/technical-documentation/data-sheets/ADP150.pdf,ADP150ACBZ-2.8-R7TR-ND,ADP150ACBZ-2.8-R7,Analog Devices Inc.,IC REG LINEAR 2.8V 150MA 4WLCSP,57  000 - Factory Stock,$0.44800,3  000,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TSOT-23-5_tmb.jpg,http://www.analog.com/media/en/technical-documentation/data-sheets/ADP150.pdf,ADP150AUJZ-3.3-R7TR-ND,ADP150AUJZ-3.3-R7,Analog Devices Inc.,IC REG LINEAR 3.3V 150MA TSOT5,6  000 - Immediate  54  000 - Factory Stock,$0.44800,3  000,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/Renders/Analog%20Devices%20Renders/505;CP-16-23;CP;16_tmb.jpg,http://www.analog.com/media/en/technical-documentation/data-sheets/ADP1740_1741.pdf,ADP1741ACPZ-R7TR-ND,ADP1741ACPZ-R7,Analog Devices Inc.,IC REG LIN POS ADJ 2A 16LFCSP,12  000 - Immediate  90  000 - Factory Stock,$1.73600,1  500,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/Renders/Analog%20Devices%20Renders/8SOIC_tmb.jpg,http://www.analog.com/media/en/technical-documentation/data-sheets/ADP3303.pdf,ADP3303ARZ-3.3-RL7TR-ND,ADP3303ARZ-3.3-RL7,Analog Devices Inc.,IC REG LINEAR 3.3V 200MA 8SOIC,2  000 - Immediate,$1.84800,1  000,Tape & Reel (TR)  Alternate Packaging,anyCAP®,Active
https://media.digikey.com/Renders/Analog%20Devices%20Renders/8SOIC_tmb.jpg,http://www.analog.com/media/en/technical-documentation/data-sheets/ADP3303.pdf,ADP3303ARZ-5-ND,ADP3303ARZ-5,Analog Devices Inc.,IC REG LINEAR 5V 200MA 8SOIC,6  413 - Immediate,$3.50000,1,Tube  Alternate Packaging,anyCAP®,Active
https://media.digikey.com/renders/Analog%20Devices%20Renders/SOT-23-6%20PKG_tmb.jpg,http://www.analog.com/media/en/technical-documentation/data-sheets/ADP3330.pdf,ADP3330ARTZ-2.5-R7TR-ND,ADP3330ARTZ-2.5-R7,Analog Devices Inc.,IC REG LINEAR 2.5V 200MA SOT23-6,3  000 - Immediate  3  000 - Factory Stock,$1.16100,3  000,Tape & Reel (TR)  Alternate Packaging,anyCAP®,Active
https://media.digikey.com/renders/Analog%20Devices%20Renders/SOT-23-6%20PKG_tmb.jpg,http://www.analog.com/media/en/technical-documentation/data-sheets/ADP3330.pdf,ADP3330ARTZ-5-RL7TR-ND,ADP3330ARTZ-5-RL7,Analog Devices Inc.,IC REG LINEAR 5V 200MA SOT23-6,12  000 - Immediate,$1.16100,3  000,Tape & Reel (TR)  Alternate Packaging,anyCAP®,Active
https://media.digikey.com/Renders/Analog%20Devices%20Renders/505;CP-8-13;CP;8_tmb.jpg,http://www.analog.com/media/en/technical-documentation/data-sheets/ADP3334.pdf,ADP3334ACPZ-REEL7TR-ND,ADP3334ACPZ-REEL7,Analog Devices Inc.,IC REG LIN POS ADJ 500MA 8LFCSP,0  Standard Lead Time 26 Weeks,$1.36300,1  500,Tape & Reel (TR)  Alternate Packaging,anyCAP®,Active
