12,1,10µs,Voltage - Buffered,No,SPI,External   Internal,±10.8 V ~ 16.5 V,-,±1 (Max)   ±0.9 (Max),R-2R,-40°C ~ 85°C,16-DIP (0.300"   7.62mm),16-PDIP
12,1,7µs,Voltage - Buffered,No,Parallel,Internal,±10.8 V ~ 16.5 V,10.8 V ~ 16.5 V,±1 (Max)   ±1 (Max),R-2R,-40°C ~ 85°C,20-SOIC (0.295"   7.50mm Width),20-SOIC
8,4,2µs,Voltage - Buffered,No,Parallel,External,2.7 V ~ 5.5 V   ±5V,2.7 V ~ 5.5 V,±1 (Max)   ±1 (Max),R-2R,-40°C ~ 85°C,20-TSSOP (0.173"   4.40mm Width),20-TSSOP
8,1,500ns,Current - Unbuffered,Yes,Parallel,External,5 V ~ 15 V,5 V ~ 15 V,±0.5 (Max)   -,R-2R,-40°C ~ 85°C,16-SOIC (0.154"   3.90mm Width),16-SOIC
8,2,400ns,Current - Unbuffered,No,Parallel,External,5 V ~ 15 V,5 V ~ 15 V,±1 (Max)   ±1 (Max),R-2R,-40°C ~ 85°C,20-SOIC (0.295"   7.50mm Width),20-SOIC
12,2,1.5µs,Current - Unbuffered,No,Parallel,External,10.8 V ~ 16.5 V,10.8 V ~ 16.5 V,±1 (Max)   ±1 (Max),R-2R,-40°C ~ 85°C,24-DIP (0.300"   7.62mm),24-PDIP
12,2,1.5µs,Current - Unbuffered,No,Parallel,External,10.8 V ~ 16.5 V,10.8 V ~ 16.5 V,±0.5 (Max)   ±1 (Max),R-2R,-40°C ~ 85°C,28-LCC (J-Lead),28-PLCC (11.51x11.51)
12,1,1µs,Current - Unbuffered,No,Parallel,External,5 V ~ 15 V,5 V ~ 15 V,±0.5 (Max)   ±1 (Max),R-2R,0°C ~ 70°C,20-SOIC (0.295"   7.50mm Width),20-SOIC
12,2,1.5µs,Current - Unbuffered,No,Parallel,External,10.8 V ~ 16.5 V,10.8 V ~ 16.5 V,±0.5 (Max)   ±1 (Max),R-2R,-40°C ~ 85°C,24-DIP (0.300"   7.62mm),24-PDIP
12,1,1.5µs (Typ),Current - Unbuffered,No,Parallel,External,5V   11.4 V ~ 15.75 V,5V   11.4 V ~ 15.75 V,±1 (Max)   ±1 (Max),R-2R,0°C ~ 70°C,20-LCC (J-Lead),20-PLCC (9x9)
12,4,3.5µs (Typ),Current - Unbuffered,Yes,SPI,External,3 V ~ 5.5 V,3 V ~ 5.5 V,±1 (Max)   ±0.9 (Max),R-2R,-40°C ~ 85°C,28-SSOP (0.209"   5.30mm Width),28-SSOP
16,1,35ns,Current - Unbuffered,Yes,Parallel,External   Internal,±5V,-,±8   ±8,R-2R,-40°C ~ 85°C,28-SOIC (0.295"   7.50mm Width),28-SOIC
8,1,2µs,Voltage - Buffered,No,Parallel,External,2.7 V ~ 5.5 V,2.7 V ~ 5.5 V,±1 (Max)   ±1 (Max),Current Source,-40°C ~ 105°C,20-TSSOP (0.173"   4.40mm Width),20-TSSOP
12,2,5µs,Voltage - Buffered,No,Parallel,External,±14.25 V ~ 15.75 V,-,±1 (Max)   ±1 (Max),R-2R,-40°C ~ 85°C,24-SOIC (0.295"   7.50mm Width),24-SOIC
12,1,5µs,Voltage - Buffered,No,Parallel,External,±14.25 V ~ 15.75 V,-,±1 (Max)   ±1 (Max),R-2R,0°C ~ 70°C,24-DIP (0.300"   7.62mm),24-PDIP
12,1,14µs (Typ),Voltage - Buffered,No,SPI   DSP,Internal,2.7 V ~ 5.5 V,2.7 V ~ 5.5 V,±0.5   ±0.5,R-2R,-40°C ~ 85°C,8-SOIC (0.154"   3.90mm Width),8-SOIC
12,2,16µs (Typ),Voltage - Buffered,No,Parallel,Internal,5V,5V,±0.75   ±0.75,R-2R,-40°C ~ 85°C,24-SOIC (0.295"   7.50mm Width),24-SOIC
16,2,20ns (Typ),Current - Unbuffered,Yes,LVDS - Parallel,External   Internal,3.13 V ~ 3.47 V,1.71 V ~ 1.89 V,±3.7   ±2.1,Current Source,-40°C ~ 85°C,72-VFQFN Exposed Pad   CSP,72-LFCSP-VQ (10x10)
8,2,35ns (Typ),Current - Unbuffered,Yes,Parallel,External   Internal,3 V ~ 5.5 V,2.7 V ~ 5.5 V,±0.1   ±0.1,Current Source,-40°C ~ 85°C,48-LQFP,48-LQFP (7x7)
8,2,35ns (Typ),Current - Unbuffered,Yes,Parallel,External   Internal,3 V ~ 5.5 V,2.7 V ~ 5.5 V,±0.1   ±0.1,Current Source,-40°C ~ 85°C,48-LQFP,48-LQFP (7x7)
12,1,11ns (Typ),Current - Unbuffered,Yes,Parallel,External   Internal,2.7 V ~ 3.6 V,2.7 V ~ 3.6 V,±0.5   ±0.4,Current Source,-40°C ~ 85°C,28-TSSOP (0.173"   4.40mm Width),28-TSSOP
14,1,11ns (Typ),Current - Unbuffered,Yes,Parallel,External   Internal,2.7 V ~ 3.6 V,2.7 V ~ 3.6 V,±0.8   ±0.5,Current Source,-40°C ~ 85°C,32-WFQFN Exposed Pad   CSP,32-LFCSP-WQ (5x5)
12,1,35ns (Typ),Current - Unbuffered,Yes,Parallel,External   Internal,5V,2.7 V ~ 5.5 V,±0.5   ±0.25,Current Source,-40°C ~ 85°C,28-TSSOP (0.173"   4.40mm Width),28-TSSOP
10,2,35ns (Typ),Current - Unbuffered,Yes,Parallel,External   Internal,3 V ~ 5.5 V,2.7 V ~ 5.5 V,±0.1   ±0.07,Current Source,-40°C ~ 85°C,48-LQFP,48-LQFP (7x7)
