Inverter,6,6,-,4.5 V ~ 5.5 V,-,1mA   20mA,0.8V,2V,5ns @ 5V   50pF,0°C ~ 70°C,Surface Mount,14-SOIC,14-SOIC (0.154"   3.90mm Width)
AND Gate,2,4,-,4.5 V ~ 5.5 V,4.3mA,1mA   20mA,0.8V,2V,5.1ns @ 5V   50pF,0°C ~ 70°C,Surface Mount,14-SOIC,14-SOIC (0.154"   3.90mm Width)
NOR Gate,2,5,-,4.5 V ~ 5.5 V,6.5mA,1mA   20mA,0.8V,2V,5.5ns @ 5V   50pF,0°C ~ 70°C,Through Hole,14-PDIP,14-DIP (0.300"   7.62mm)
NOR Gate,4,2,-,2 V ~ 6 V,2µA,5.2mA   5.2mA,0.5 V ~ 1.8 V,1.5 V ~ 4.2 V,15ns @ 6V   50pF,-40°C ~ 125°C,Surface Mount,14-SSOP,14-SSOP (0.209"   5.30mm Width)
Inverter,6,6,-,2 V ~ 6 V,2µA,5.2mA   5.2mA,0.5 V ~ 1.8 V,1.5 V ~ 4.2 V,14ns @ 6V   50pF,-40°C ~ 125°C,Surface Mount,14-DHVQFN (2.5x3),14-VFQFN Exposed Pad
Inverter,6,6,Open Drain,2 V ~ 6 V,2µA,-   5.2mA,0.5 V ~ 1.8 V,1.5 V ~ 4.2 V,20ns @ 6V   50pF,-40°C ~ 85°C,Surface Mount,14-SOIC,14-SOIC (0.154"   3.90mm Width)
Inverter,6,6,Open Drain,2 V ~ 6 V,2µA,-   5.2mA,0.5 V ~ 1.8 V,1.5 V ~ 4.2 V,20ns @ 6V   50pF,-40°C ~ 85°C,Surface Mount,14-SOIC,14-SOIC (0.154"   3.90mm Width)
AND Gate,4,2,-,2 V ~ 6 V,2µA,5.2mA   5.2mA,0.5 V ~ 1.8 V,1.5 V ~ 4.2 V,15ns @ 6V   50pF,-40°C ~ 125°C,Surface Mount,14-TSSOP,14-TSSOP (0.173"   4.40mm Width)
AND Gate,4,2,-,2 V ~ 6 V,2µA,5.2mA   5.2mA,0.5 V ~ 1.8 V,1.5 V ~ 4.2 V,15ns @ 6V   50pF,-40°C ~ 125°C,Surface Mount,14-TSSOP,14-TSSOP (0.173"   4.40mm Width)
NAND Gate,4,2,Schmitt Trigger,2 V ~ 6 V,2µA,5.2mA   5.2mA,0.3 V ~ 1.2 V,1.5 V ~ 4.2 V,21ns @ 6V   50pF,-40°C ~ 85°C,Surface Mount,14-TSSOP,14-TSSOP (0.173"   4.40mm Width)
Inverter,6,6,Schmitt Trigger,2 V ~ 6 V,1µA,5.2mA   5.2mA,0.3 V ~ 1.5 V,1.5 V ~ 4.2 V,21ns @ 6V   50pF,-55°C ~ 125°C,Surface Mount,14-TSSOP,14-TSSOP (0.173"   4.40mm Width)
