Non-Volatile,EEPROM,EEPROM,4Kb (512 x 8   256 x 16),2MHz,-,-,SPI,1.8 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Volatile,SRAM,SRAM - Asynchronous,1Mb (128K x 8),-,45ns,45ns,Parallel,4.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,32-SOIC (0.445"   11.30mm Width),32-SOIC
Volatile,SRAM,SRAM - Asynchronous,2Mb (256K x 8),-,45ns,45ns,Parallel,2.2 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,32-TFSOP (0.465"   11.80mm Width),32-sTSOP
Volatile,SRAM,SRAM - Asynchronous,4Mb (256K x 16),-,45ns,45ns,Parallel,4.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,44-TSOP (0.400"   10.16mm Width),44-TSOP II
Volatile,SRAM,SRAM - Asynchronous,4Mb (256K x 16),-,45ns,45ns,Parallel,2.2 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,44-TSOP (0.400"   10.16mm Width),44-TSOP II
Volatile,SRAM,SRAM - Asynchronous,4Mb (512K x 8),-,45ns,45ns,Parallel,2.2 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,32-SOIC (0.400"   10.16mm Width),32-TSOP II
Volatile,SRAM,SRAM - Asynchronous,4Mb (512K x 8),-,45ns,45ns,Parallel,2.2 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,32-SOIC (0.400"   10.16mm Width),32-TSOP II
Volatile,SRAM,SRAM - Asynchronous,16Mb (2M x 8   1M x 16),-,45ns,45ns,Parallel,2.2 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,48-TFSOP (0.724"   18.40mm Width),48-TSOP I
Volatile,SRAM,SRAM - Asynchronous,256Kb (32K x 8),-,70ns,70ns,Parallel,4.5 V ~ 5.5 V,0°C ~ 70°C (TA),Through Hole,28-DIP (0.600"   15.24mm),28-DIP
Volatile,SRAM,SRAM - Asynchronous,1Mb (64K x 16),-,15ns,15ns,Parallel,3 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,44-TSOP (0.400"   10.16mm Width),44-TSOP II
Volatile,SRAM,SRAM - Asynchronous,4Mb (256K x 16),-,10ns,10ns,Parallel,3 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,44-TSOP (0.400"   10.16mm Width),44-TSOP II
Volatile,SRAM,SRAM - Asynchronous,16Mb (1M x 16),-,10ns,10ns,Parallel,3 V ~ 3.6 V,0°C ~ 70°C (TA),Surface Mount,54-TSOP (0.400"   10.16mm Width),54-TSOP II
Volatile,SRAM,SRAM - Synchronous,72Mb (2M x 36),133MHz,-,6.5ns,Parallel,2.375 V ~ 2.625 V,-40°C ~ 85°C (TA),Surface Mount,100-LQFP,100-TQFP (14x20)
Volatile,SRAM,SRAM - Asynchronous,256Kb (32K x 8),-,15ns,15ns,Parallel,4.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,28-BSOJ (0.300"   7.62mm Width),28-SOJ
Non-Volatile,NVSRAM,NVSRAM (Non-Volatile SRAM),64Kb (8K x 8),-,150ns,150ns,Parallel,4.75 V ~ 5.25 V,0°C ~ 70°C (TA),Through Hole,28-DIP Module (0.600"   15.24mm),28-EDIP
Non-Volatile,NVSRAM,NVSRAM (Non-Volatile SRAM),64Kb (8K x 8),-,150ns,150ns,Parallel,4.5 V ~ 5.5 V,0°C ~ 70°C (TA),Through Hole,28-DIP Module (0.600"   15.24mm),28-EDIP
Non-Volatile,NVSRAM,NVSRAM (Non-Volatile SRAM),256Kb (32K x 8),-,150ns,150ns,Parallel,4.5 V ~ 5.5 V,0°C ~ 70°C (TA),Through Hole,28-DIP Module (0.600"   15.24mm),28-EDIP
Non-Volatile,NVSRAM,NVSRAM (Non-Volatile SRAM),256Kb (32K x 8),-,200ns,200ns,Parallel,4.5 V ~ 5.5 V,0°C ~ 70°C (TA),Through Hole,28-DIP Module (0.600"   15.24mm),28-EDIP
