Positive,Fixed,1,20V,3.3V,-,0.82V @ 250mA,250mA,1mA,6mA,73dB ~ 55dB (120Hz ~ 10kHz),-,Over Current   Over Temperature,-40°C ~ 125°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SO
Positive,Fixed,1,20V,3.3V,-,0.8V @ 250mA,250mA,1mA,6mA,73dB ~ 55dB (120Hz ~ 10kHz),-,Over Current   Over Temperature,-40°C ~ 125°C,Surface Mount,TO-252-3   DPak (2 Leads + Tab)   SC-63,D-Pak
Positive,Adjustable (Fixed),2,28V,4.9V (5V),5.1V,0.4V @ 100mA   0.6V @ 400mA,100mA   400mA,-,-,-,Enable   Reset,Over Temperature,-40°C ~ 150°C,Surface Mount,20-SOIC (0.433"   11.00mm Width) Exposed Pad,PowerSO-20
Positive,Fixed,1,28V,5V,-,0.5V @ 100mA,100mA,300µA,5mA,-,Reset,Over Temperature   Short Circuit,-40°C ~ 125°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SO
Positive,Fixed,1,35V,5V,-,2V @ 1A (Typ),1.5A,6mA,-,68dB (120Hz),-,Over Temperature   Short Circuit,-40°C ~ 125°C,Surface Mount,TO-263-3   D²Pak (2 Leads + Tab)   TO-263AB,D2PAK
Positive,Fixed,1,35V,5V,-,2V @ 1A (Typ),1.5A,6mA,-,68dB (120Hz),-,Over Temperature   Short Circuit,-40°C ~ 125°C,Through Hole,TO-220-3,TO-220AB
Positive,Fixed,1,35V,8V,-,2V @ 1A (Typ),1.5A,6mA,-,62dB (120Hz),-,Over Temperature   Short Circuit,-40°C ~ 125°C,Through Hole,TO-220-3,TO-220
Positive,Fixed,1,35V,8V,-,2V @ 1A (Typ),1.5A,8mA,-,56dB (120Hz),-,Over Temperature   Short Circuit,0°C ~ 125°C,Through Hole,TO-220-3,TO-220AB
Positive,Fixed,1,35V,12V,-,2V @ 1A (Typ),1.5A,6mA,-,60dB (120Hz),-,Over Temperature   Short Circuit,-40°C ~ 125°C,Surface Mount,TO-263-3   D²Pak (2 Leads + Tab)   TO-263AB,D2PAK
Positive,Fixed,1,35V,15V,-,2V @ 1A (Typ),1.5A,6mA,-,58dB (120Hz),-,Over Temperature   Short Circuit,-40°C ~ 125°C,Surface Mount,TO-263-3   D²Pak (2 Leads + Tab)   TO-263AB,D2PAK
Positive,Fixed,1,35V,15V,-,2V @ 1A (Typ),1.5A,8mA,-,54dB (120Hz),-,Over Temperature   Short Circuit,0°C ~ 125°C,Surface Mount,TO-263-3   D²Pak (2 Leads + Tab)   TO-263AB,D2PAK
Positive,Fixed,1,40V,24V,-,2V @ 1A (Typ),1.5A,8mA,-,50dB (120Hz),-,Over Temperature   Short Circuit,0°C ~ 125°C,Surface Mount,TO-263-3   D²Pak (2 Leads + Tab)   TO-263AB,D2PAK
Positive,Fixed,1,30V,8V,-,-,100mA,5.5mA,6mA,45dB (120Hz),-,Over Current   Over Temperature   Short Circuit,-40°C ~ 125°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SO
Positive,Fixed,1,30V,8V,-,-,100mA,5.5mA,6mA,45dB (120Hz),-,Over Current   Over Temperature   Short Circuit,0°C ~ 125°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SO
Positive,Fixed,1,35V,12V,-,-,100mA,6mA,6.5mA,42dB (120Hz),-,Over Current   Over Temperature   Short Circuit,-40°C ~ 125°C,Surface Mount,TO-243AA,SOT-89-3
Positive,Fixed,1,20V,5V,-,2.2V @ 40mA,150mA,-,-,79dB (120Hz),Reset,Over Current   Over Temperature,-30°C ~ 80°C,Through Hole,TO-252-5   DPak (4 Leads + Tab)   TO-252AD,TP5HFA
Positive,Fixed,1,35V,5V,-,-,500mA,6mA,-,62dB (120Hz),-,Over Current   Over Temperature   Short Circuit,-40°C ~ 125°C,Surface Mount,TO-252-3   DPak (2 Leads + Tab)   SC-63,D-Pak
Positive,Fixed,1,35V,9V,-,-,500mA,6mA,-,56dB (120Hz),-,Over Current   Over Temperature   Short Circuit,0°C ~ 125°C,Surface Mount,TO-252-3   DPak (2 Leads + Tab)   SC-63,D-Pak
Positive,Fixed,1,35V,15V,-,-,500mA,6mA,-,54dB (120Hz),-,Over Current   Over Temperature   Short Circuit,-40°C ~ 125°C,Surface Mount,TO-252-3   DPak (2 Leads + Tab)   SC-63,D-Pak
Positive,Fixed,1,40V,24V,-,-,500mA,6mA,-,50dB (120Hz),-,Over Current   Over Temperature   Short Circuit,0°C ~ 125°C,Surface Mount,TO-252-3   DPak (2 Leads + Tab)   SC-63,D-Pak
Positive,Fixed,1,35V,5V,-,-,2A,8mA,-,54dB (120Hz),-,Over Current   Over Temperature   Short Circuit,0°C ~ 150°C,Through Hole,TO-220-3,TO-220AB
